Country,Year,gdp_growth_mean5,gdp_growth_std5,gdp_growth_trend5,inflation_mean5,inflation_std5,inflation_trend5,domestic_credit_mean5,domestic_credit_std5,domestic_credit_trend5,current_account_mean5,current_account_std5,current_account_trend5,total_reserves_mean5,total_reserves_std5,total_reserves_trend5,target_crisis_next_3y
Tunisia,2006,0.11748073333883900,-0.4073600452393510,0.5094552064417970,-0.08563707427185050,-0.08314709663103360,-0.06159596859819550,-0.3583902646142060,-0.5578313723020800,-0.25035858743800000,-0.2173033729806760,-0.4372129149657670,0.33132007730246,-0.196425416360743,-0.15199131468098900,-0.07058569948786380,0
Tunisia,2007,0.5043117481577290,-0.6722704204694100,0.24462285422187500,-0.08563707427024550,-0.08314709662946850,-0.061595968596541100,-0.3667208618792080,-0.5484597371375990,-0.25987407388054300,-0.18428052618781600,-0.5222080151010540,0.05658550547781970,-0.1897339382893260,-0.14261757570448900,-0.059963098526819500,0
Tunisia,2008,0.47094811687093500,-0.6431934495041960,-0.03423589011376010,-0.08563707426835400,-0.08314709662638540,-0.061595968593408100,-0.37007097755601900,-0.5475849512259370,-0.26220475142041500,-0.22627399209759700,-0.3709644743878590,-0.36694322096248300,-0.18264664028765100,-0.14014632906357200,-0.057026562271977700,0
Tunisia,2009,0.24171020237400500,-0.5883414690162660,-0.11648199792264600,-0.08563707426641020,-0.08314709662359520,-0.06159596859023980,-0.36894158413051900,-0.538188327771718,-0.18404621095842100,-0.24276582898940500,-0.3602705319098880,-0.4603986828576740,-0.174070976715504,-0.13093735883327900,-0.04709478997687900,0
Tunisia,2010,0.20469906590030200,-0.5421870952252280,-0.5807693211596310,-0.08563707426414000,-0.08314709662226830,-0.06159596858883290,-0.3541182848820560,-0.32256774578080000,0.10183777695021700,-0.3846112954626490,-0.31251411234284700,-0.5121460739856660,-0.16791268134015000,-0.15418973325099300,-0.07826148712559700,0
Tunisia,2011,-0.31883924194096900,0.15525101884137000,-1.3571133007790800,-0.08563707426188900,-0.08314709662194750,-0.0615959685884784,-0.31604122211675900,-0.02225981107018210,0.442372966872893,-0.5997886352410340,0.07026072481225570,-0.9110254122230450,-0.1668811313587590,-0.16108970773029100,-0.1191933768140450,0
Tunisia,2012,-0.497847186140561,-0.09807774688136740,-0.3545058012182450,-0.08563707425940690,-0.0831470966213651,-0.06159596858788460,-0.27639664327260200,0.021554438107280200,0.5074324419206240,-0.8194708710825020,0.20320763446858900,-1.097854715522690,-0.16607180405434100,-0.16415958162534200,-0.13972701795858000,0
Tunisia,2013,-0.6276666299441100,-0.17807254076818400,0.023918466850697400,-0.08563707425674850,-0.08314709661747380,-0.061595968583862400,-0.2379508554950620,-0.08026338089112180,0.3585336624791000,-1.0055426649924500,0.27808838152056600,-1.2357933448701800,-0.1678297113387580,-0.15776723847963700,-0.16026741839224700,0
Tunisia,2014,-0.6243003871179550,-0.17611067797697700,0.36896211777392100,-0.08563707425384110,-0.08314709661427320,-0.06159596858045840,-0.19803720811264000,-0.2978140004575910,0.13145589092046900,-1.2361541704130500,-0.0857855820634363,-0.7696587222645560,-0.1723120658388750,-0.1736701881217030,-0.1426158183896170,0
Tunisia,2015,-0.7681641194184420,-0.17945795382460400,0.38272797623945400,-0.08563707425079550,-0.08314709661127390,-0.061595968577116900,-0.17214336903435500,-0.5083153556030440,-0.048565006700204400,-1.3850899515594900,-0.5739424352670870,-0.258877691225162,-0.17491556739367600,-0.1865170596449530,-0.1281109625412610,0
