Country,Year,gdp_growth,inflation,domestic_credit,current_account,total_reserves,External_Debt_Crisis,gdp_growth_mean5,gdp_growth_std5,gdp_growth_trend5,inflation_mean5,inflation_std5,inflation_trend5,domestic_credit_mean5,domestic_credit_std5,domestic_credit_trend5,current_account_mean5,current_account_std5,current_account_trend5,total_reserves_mean5,total_reserves_std5,total_reserves_trend5,target_crisis_next_3y
New Zealand,1974,5.993440849,59.06045343444842,84.06587421899914,-4.879692871915506,642844474.9,0,4.2601355376,3.482461961955289,1.8796916681000002,59.09083952165297,1.755927631888554,0.7751964170443042,85.29731922830862,0.9694634061202857,-0.29367943511385824,-4.874172404551944,0.029598631032262537,0.0116248492161963,654960610.26,304267422.176796,132492824.31000005,0
New Zealand,1975,-1.731683304,57.71545953749568,87.64589109859503,-4.8873508514364,430065727.6,0,4.1933203968,3.618690355990485,-1.0159950414999994,59.280693271667644,1.4697434746415876,-0.19727420005635019,85.58801524114172,1.418759741143277,0.4445624807797314,-4.869847748612786,0.024358334714710418,-0.0014513581347692546,689429127.4,253551950.00280076,-31657392.729999844,0
New Zealand,1976,0.928812369,58.12588880161314,86.34491267277424,-4.885863689838998,493834469.2,0,3.6219912815999997,3.9127437836114582,-1.7912553825999997,59.269525783623166,1.4803550919002286,-0.7579252030168948,85.96661509019262,1.2861759186582564,0.25511142301963236,-4.8684897377815775,0.0229155507308538,-0.011496344994687787,689605496.66,253381364.432227,-129719275.71999992,0
New Zealand,1977,-3.93633758,57.77819436054942,89.24325923956438,-4.879804282037751,449817030.3,0,1.8109020124000001,4.993120476658431,-2.8537859095999996,58.805032250466596,1.5182486242576396,-0.8068506148189026,86.61362598743497,1.9531094215842215,0.9229171518419867,-4.873535893099019,0.021837632845550146,-0.009584384146611998,612839980.4,256950862.47150874,-134465234.50999993,0
New Zealand,1978,0.318563369,57.95746871754572,86.5475730720536,-4.887823511068433,465822282.0,0,0.31455914059999995,3.7041953104465026,-1.3554409236,58.12749297033048,0.5456892696554118,-0.21432346107516428,86.76950206039729,1.8991224589587457,0.6560765847078341,-4.884107041259417,0.004044097379322403,-0.0008714708907206548,496476796.8,85084872.75549617,-33429308.309999965,0
New Zealand,1979,2.191774302,58.04258525644076,85.36878426186202,-4.891219033658223,473984277.4,0,-0.44577416880000004,2.411843547424335,0.7236666211999999,57.92391933472894,0.17370239116008898,0.048583135382278854,87.03008406896984,1.478137035839177,-0.43515532741865925,-4.886412273607961,0.004181625235296352,-0.0009696185673085123,462704757.3,24173359.633604366,5982491.2400000105,0
New Zealand,1980,1.284252205,30.458,47.58573145343453,-4.003,365276663.1,0,0.15741293299999995,2.3868500549978493,0.6838991553999997,52.47242742722981,12.307113181102943,-5.5071386707334895,79.01805213993775,17.629903666701374,-8.139283741638174,-4.709542103320681,0.39499082979989003,0.17543126280575175,449746944.4,49811665.219684884,-23294836.509999976,0
New Zealand,1981,4.655653994,35.164,54.1983771505647,-4.924,682774524.4,0,0.9027812579999999,3.1483908029980845,1.8149671984000002,47.880049666907176,13.856681659351375,-7.272785743864458,72.58874503549585,19.993170366921674,-10.905160579661839,-4.717169365352882,0.399588236328744,0.07964320751439345,487534955.43999994,117413034.0653262,36536936.930000074,0
New Zealand,1982,0.929683828,40.835,71.40001863896899,-7.356,646131513.4,0,1.8759855395999998,1.6953965867146668,0.36861206100000027,44.4914107947973,12.867357885745813,-5.7123522691532145,69.02009691537675,17.743107290784447,-6.14655159774665,-5.212408508945331,1.2598959272441284,-0.4969133944204915,526797852.06000006,133384438.12775792,56940870.98000004,0
New Zealand,1983,3.491525013,43.874,64.60150914493059,-4.35,786180149.9,0,2.5105778684,1.5546981378030484,0.22449330450000013,41.67471705128815,10.50777399983649,-1.7960170512881442,64.63088412995216,14.792371162297993,-1.772026304832838,-5.104843806731645,1.3162345136399836,-0.22705619326835516,590869425.64,168968160.40467536,90524659.53000006,0
New Zealand,1984,4.792699435,46.564,80.94295631228555,-8.836,1793573440.0,0,3.0307628949999996,1.831790518867423,0.5852765479000003,39.379000000000005,6.544074648107293,4.092200000000003,63.745718540036876,13.298144464599927,7.7117581712067915,-5.893800000000001,2.1031835868511344,-0.9092000000000005,854787258.16,547442383.6328483,295999917.93000007,0
New Zealand,1985,1.615334601,53.725,85.70874076979719,-6.614,1603038945.0,0,3.0969793742,1.7573446285969054,-0.22176231790000012,44.03240000000001,6.87845311825271,4.285100000000001,71.37032040330939,12.62852900939154,7.256366491178157,-6.4159999999999995,1.8216492527377504,-0.48600000000000015,1102339714.54,550595478.6579957,298797076.78000003,0
New Zealand,1986,2.705642144,60.828,91.86676733354854,-5.612,3779914173.0,0,2.7069770042,1.5261233230752875,0.1675726220000004,49.165200000000006,8.077251246556607,4.983700000000003,78.90399843990618,10.94721605771642,6.204072901402568,-6.5536,1.702887782562317,0.12239999999999973,1721767644.2599998,1253748056.4001517,708442411.4300002,0
