Country,Year,target_crisis_next_3y,KMeans_Cluster,GMM_Cluster,GMM_Max_Probability
Canada,1976,0,0,6,0.9999814034038199
Canada,1977,0,0,6,0.9999829550054933
Canada,1978,0,0,6,0.9999774256454015
Canada,1979,0,0,6,0.9999638662945556
Canada,1980,0,0,6,0.999941984296671
Canada,1981,0,0,6,0.9999220331532137
Canada,1982,0,0,6,0.9997503649560541
Canada,1983,0,0,6,0.9981144070878752
Canada,1984,0,0,6,0.6241103974584843
Canada,1985,0,0,6,0.9875627318079304
Canada,1986,0,0,6,0.9973601471365097
Canada,1987,0,0,6,0.9999463522230017
Canada,1988,0,0,6,0.9998532058424845
Canada,1989,0,0,6,0.9998384808406788
Canada,1990,0,0,6,0.9991378164736076
Canada,1991,0,0,6,0.9965778177718321
Canada,1992,0,0,7,0.9086674889919508
Canada,1993,0,0,7,0.9972002312082845
Canada,1994,0,0,7,0.9996965033759875
Canada,1995,0,0,6,0.976462846981252
Canada,1996,0,0,6,0.9993689324967091
Canada,1997,0,0,6,0.9998488050377594
Canada,1998,0,0,6,0.9999652134291536
Canada,1999,0,0,6,0.9999532256350103
Canada,2000,0,0,6,0.9994031703507364
Canada,2001,0,0,6,0.9957090532696209
Canada,2002,0,0,6,0.9994073560122516
Canada,2003,0,0,6,0.999931168157889
Canada,2004,0,0,6,0.9999216557662981
Canada,2005,0,0,6,0.9998643609527477
Canada,2006,0,0,6,0.9998094826210976
Canada,2007,0,0,6,0.9999550229842488
Canada,2008,0,0,6,0.9999210537188031
Canada,2009,0,0,6,0.9994745075715895
Canada,2010,0,0,6,0.9985083963054179
Canada,2011,0,0,6,0.9898825251367083
Canada,2012,0,0,6,0.9644629561526138
Canada,2013,0,0,6,0.8200346533973502
Canada,2014,0,0,6,0.9790480565862467
Canada,2015,0,0,6,0.8492842242024151
Canada,2016,0,0,6,0.7500903183295564
Central African Republic,1965,0,0,4,0.9999412224368889
Central African Republic,1966,0,0,4,0.9999019955325089
Central African Republic,1967,0,0,4,0.9999497738621429
Central African Republic,1968,0,0,4,0.9999558625237239
Central African Republic,1969,0,0,4,0.999954680375847
Central African Republic,1970,0,0,4,0.9999638988665376
Central African Republic,1971,0,0,4,0.9999514310731752
Central African Republic,1972,0,0,4,0.9999415802995104
Central African Republic,1973,0,0,4,0.9999181215097149
Central African Republic,1974,0,0,4,0.9999591082134882
Central African Republic,1975,0,0,4,0.9999598973558654
Central African Republic,1976,0,0,4,0.9999615219792601
Central African Republic,1977,0,0,4,0.9999615691144014
Central African Republic,1978,1,0,4,0.9999484447079319
Central African Republic,1979,1,0,4,0.9999234518984471
Central African Republic,1980,1,0,4,0.9931449685704691
Central African Republic,1981,1,0,4,0.999364957902338
Central African Republic,1982,1,0,4,0.9992080430450688
Central African Republic,1983,1,0,4,0.997644185157078
Central African Republic,1984,1,0,4,0.924200523428226
Central African Republic,1985,1,0,4,0.9732141487609344
Central African Republic,1986,1,0,4,0.9977274310081535
Central African Republic,1987,1,0,4,0.993359138242741
Central African Republic,1988,1,0,4,0.9938797600113204
Central African Republic,1989,1,0,4,0.9984234311992728
Central African Republic,1990,1,0,4,0.9996721238938509
Central African Republic,1991,1,0,4,0.999935746746615
Central African Republic,1992,1,0,4,0.9987959551352834
Central African Republic,1993,1,0,4,0.9994725544006922
Central African Republic,1994,1,0,4,0.9932479526413536
Central African Republic,1995,1,0,4,0.9468131127791486
Central African Republic,1996,1,0,4,0.992057891943693
Central African Republic,1997,1,0,4,0.9985708739296106
Central African Republic,1998,1,0,4,0.9995641459453383
Central African Republic,1999,1,0,4,0.9946612111497273
Central African Republic,2000,1,0,4,0.9998031911372678
Central African Republic,2001,1,0,4,0.9998006545947923
Central African Republic,2002,1,0,4,0.9996773825402561
Central African Republic,2003,1,0,4,0.9997972452129157
Central African Republic,2004,1,0,4,0.9998655367743383
Central African Republic,2005,1,0,4,0.9990406029826303
Central African Republic,2006,1,0,4,0.9996375354136531
Central African Republic,2007,1,0,4,0.9979820083819844
Central African Republic,2008,1,0,4,0.9293822587922465
Central African Republic,2009,1,0,4,0.9961149567674945
Central African Republic,2010,1,0,4,0.9700921725343674
Central African Republic,2011,1,0,4,0.9998778715128448
Central African Republic,2012,1,0,4,0.999326028134857
Central African Republic,2013,1,0,3,0.9999998634186626
Central African Republic,2014,1,0,3,0.9999999999871259
Central African Republic,2015,1,0,3,1.0
Central African Republic,2016,0,0,3,1.0
Chile,1964,1,0,4,0.9999377954304528
Chile,1965,0,0,4,0.9996994743608536
Chile,1966,0,0,3,0.9956568418018903
Chile,1967,0,0,4,0.8562267368284335
Chile,1968,0,0,4,0.8189680572107235
Chile,1969,1,0,4,0.9999456403946946
Chile,1970,1,0,4,0.9942922274439632
Chile,1971,1,0,4,0.5503238724302999
Chile,1972,1,0,4,0.999990022018469
Chile,1973,1,0,4,0.9931373290379246
Chile,1974,1,0,4,0.9998515196301446
Chile,1975,0,0,0,0.9998802220580447
Chile,1976,0,0,7,0.9098825105246559
Chile,1977,0,0,3,0.9999970200359832
Chile,1978,0,0,3,0.9999987468624649
Chile,1979,0,0,3,0.9999998159271187
Chile,1980,1,0,3,0.9998564600646679
Chile,1981,1,0,3,0.9981455786746899
Chile,1982,1,0,0,0.9996640340543844
Chile,1983,1,0,0,0.9999792344589271
Chile,1984,1,0,0,0.8903211081659352
Chile,1985,1,0,7,0.800794766094547
Chile,1986,1,0,3,0.9999973500453241
Chile,1987,1,0,3,0.9999242841172807
Chile,1988,1,0,3,0.9999530500612753
Chile,1989,1,0,3,0.9999395184654345
Chile,1990,0,0,6,0.691958536266497
Chile,1991,0,0,6,0.9998882603566511
Chile,1992,0,0,6,0.9997416720341287
Chile,1993,0,0,6,0.999702383532263
Chile,1994,0,0,6,0.9996543258407541
Chile,1995,0,0,6,0.9998228907704483
Chile,1996,0,0,6,0.999878214704178
Chile,1997,0,0,6,0.9999422682957865
Chile,1998,0,0,6,0.9999689570829925
Chile,1999,0,0,6,0.9997005590195287
Chile,2000,0,0,6,0.9991904753210618
Chile,2001,0,0,6,0.9991311678486455
Chile,2002,0,0,6,0.999836820880772
Chile,2003,0,0,6,0.9710111853359793
Chile,2004,0,0,7,0.9446740911268459
Chile,2005,0,0,7,0.927251201285868
Chile,2006,0,0,7,0.8424834401828832
Chile,2007,0,0,7,0.7639701912048399
Chile,2008,0,0,6,0.7531907672388571
Chile,2009,0,0,6,0.9754122009188191
Chile,2010,0,0,6,0.9357968583324037
Chile,2011,0,0,7,0.889365370678073
Chile,2012,0,0,7,0.5038650769520976
Chile,2013,0,0,6,0.9041420989327441
Chile,2014,0,0,6,0.9998010968617218
Chile,2015,0,0,6,0.9990501263541265
Chile,2016,0,0,6,0.9988801348907717
China,1965,0,0,1,1.0
China,1966,0,0,1,1.0
China,1967,0,0,1,1.0
China,1968,0,0,1,1.0
China,1969,0,0,1,1.0
China,1970,0,0,1,1.0
China,1971,0,0,1,1.0
China,1972,0,0,1,1.0
China,1973,0,0,1,1.0
China,1974,0,0,1,1.0
China,1975,0,0,9,1.0
China,1976,0,0,9,1.0
China,1977,0,0,9,1.0
China,1978,0,0,9,1.0
China,1979,0,0,9,1.0
China,1980,0,0,9,1.0
China,1981,0,0,3,0.5069041251432269
China,1982,0,0,7,0.9998049953278972
China,1983,0,0,7,0.9998999741597095
China,1984,0,0,7,0.9999974173895803
China,1985,0,0,7,0.9999693291487435
China,1986,0,0,7,0.999966329792077
China,1987,0,0,7,0.9986572285877215
China,1988,0,0,7,0.979026078820401
China,1989,0,0,7,0.9254115044151457
China,1990,0,0,7,0.9998105836022667
China,1991,0,0,7,0.9999905587820928
China,1992,0,0,7,0.9999999843913302
China,1993,0,0,7,0.9999999996887841
China,1994,0,0,7,0.999999999993392
China,1995,0,0,7,0.9999999999999556
China,1996,0,0,7,0.9999999789137421
China,1997,0,0,7,0.9975594010648217
China,1998,0,0,7,0.9809997128424386
China,1999,0,0,7,0.9964436811879828
China,2000,0,0,7,0.9988426914847711
China,2001,0,0,7,0.9922571919414162
China,2002,0,0,9,0.9985031281013623
China,2003,0,0,9,1.0
China,2004,0,0,9,1.0
China,2005,0,0,9,1.0
China,2006,0,1,9,1.0
China,2007,0,1,8,1.0
China,2008,0,1,8,1.0
China,2009,0,1,8,1.0
China,2010,0,1,8,1.0
China,2011,0,1,8,1.0
China,2012,0,1,8,1.0
China,2013,0,1,8,1.0
China,2014,0,1,8,1.0
China,2015,0,1,9,1.0
China,2016,0,1,9,1.0
Colombia,1964,0,0,4,0.9999126444018472
Colombia,1965,0,0,4,0.9999362167036663
Colombia,1966,0,0,4,0.9999222399010181
Colombia,1967,0,0,4,0.9999187590803941
Colombia,1968,0,0,4,0.9999280413461072
Colombia,1969,0,0,4,0.9998724648026666
Colombia,1970,0,0,4,0.9999095157607886
Colombia,1971,0,0,4,0.9999106309218769
Colombia,1972,0,0,4,0.9999191228124729
Colombia,1973,0,0,4,0.9999268091470148
Colombia,1974,0,0,4,0.9999389650369963
Colombia,1975,0,0,4,0.9999547022574864
Colombia,1976,0,0,4,0.9999219125222191
Colombia,1977,0,0,4,0.9987707028848777
Colombia,1978,0,0,3,0.7135477668911393
Colombia,1979,0,0,3,0.9473370501422337
Colombia,1980,0,0,6,0.9332683627693464
Colombia,1981,0,0,6,0.9991596751599005
Colombia,1982,0,0,6,0.9996733390733761
Colombia,1983,0,0,6,0.9992500523535839
Colombia,1984,0,0,6,0.9847355150212951
